1,35
1,32
2,58
2,62
3,72
3,9
4,18
4,32
5,58
5,28
6,33
6,4
7,5
7,54
8,22
8,46
9,65
9,78
10,15
10,41
11,14
11,43
12,1
12,53
13,75
13,49
14,25
14,76
15,17
15,63
16,14
16,42
17,78
17,68
18,59
18,72
19,61
19,20
20,29
20,23
21,2
21,80
22,19
22,38
23,9
23,27
24,69
24,67
25,57
25,47
26,33
26,9
27,78
27,41
28,6
28,70
29,20
29,61
30,50
30,40
31,23
31,25
32,59
32,57
33,37
33,76
34,67
34,23
35,77
35,80
36,22
36,51
37,10
37,48
38,63
38,59
39,12
39,75
40,40
40,51
41,36
41,19
42,15
42,7
43,59
43,72
44,34
44,19
45,25
45,41
46,17
46,53
47,31
47,45
48,13
48,21
49,10
49,48
50,18
50,55
51,65
51,67
52,38
52,41
53,55
53,2
54,40
54,55
55,78
55,1
56,57
56,78
57,40
57,56
58,36
58,15
59,9
59,49
60,74
60,54
61,27
61,12
62,57
62,39
63,27
63,40
64,26
64,57
65,21
65,71
66,25
66,31
67,43
67,26
68,77
68,44
69,76
69,11
70,49
70,37
71,10
71,18
72,45
72,46
73,20
73,4
74,8
74,53
75,58
75,61
76,33
76,52
77,45
77,6
78,14
78,78
79,66
79,39
80,22
80,61
1,12
1,21
1,58
1,73
1,67
1,65
1,80
5,47
5,11
5,15
5,32
5,77
5,14
8,8
8,44
8,69
8,42
8,58
8,49
8,11
8,32
8,61
8,30
8,73
8,34
8,9
8,37
